,Conditions,DateUTC,Dew PointF,Events,Gust SpeedMPH,Humidity,PrecipitationIn,Sea Level PressureIn,TemperatureF,TimeCDT,VisibilityMPH,Wind Direction,Wind SpeedMPH,WindDirDegrees
0,Clear,2016-09-30 05:53:00,48.9,,-,77,N/A,30.28,55.9,12:53 AM,10.0,NNE,4.6,20
1,Clear,2016-09-30 06:53:00,48.9,,-,86,N/A,30.27,53.1,1:53 AM,10.0,Calm,Calm,0
2,Clear,2016-09-30 07:53:00,48.0,,-,86,N/A,30.27,52.0,2:53 AM,10.0,Calm,Calm,0
3,Clear,2016-09-30 08:53:00,48.0,,-,89,N/A,30.25,51.1,3:53 AM,10.0,Calm,Calm,0
4,Clear,2016-09-30 09:53:00,46.9,,-,89,N/A,30.25,50.0,4:53 AM,10.0,Calm,Calm,0
5,Clear,2016-09-30 10:53:00,46.9,,-,89,N/A,30.25,50.0,5:53 AM,10.0,Calm,Calm,0
6,Clear,2016-09-30 11:53:00,46.9,,-,93,N/A,30.27,48.9,6:53 AM,10.0,Calm,Calm,0
7,Clear,2016-09-30 12:53:00,48.9,,-,92,N/A,30.28,51.1,7:53 AM,10.0,NW,3.5,310
8,Clear,2016-09-30 13:53:00,52.0,,-,75,N/A,30.27,60.1,8:53 AM,10.0,Calm,Calm,0
9,Clear,2016-09-30 14:53:00,51.1,,-,61,N/A,30.27,64.9,9:53 AM,10.0,NE,5.8,40
10,Clear,2016-09-30 15:53:00,50.0,,-,49,N/A,30.26,70.0,10:53 AM,10.0,North,3.5,10
11,Clear,2016-09-30 16:53:00,48.9,,-,42,N/A,30.24,73.0,11:53 AM,10.0,ENE,6.9,60
12,Clear,2016-09-30 17:53:00,48.0,,-,38,N/A,30.22,75.0,12:53 PM,10.0,NNE,8.1,20
13,Clear,2016-09-30 18:53:00,48.0,,-,36,N/A,30.19,77.0,1:53 PM,10.0,Variable,5.8,0
14,Clear,2016-09-30 19:53:00,48.0,,-,35,N/A,30.16,78.1,2:53 PM,10.0,Variable,5.8,0
15,Clear,2016-09-30 20:53:00,46.9,,-,32,N/A,30.13,79.0,3:53 PM,10.0,NE,8.1,40
16,Clear,2016-09-30 21:53:00,46.0,,-,32,N/A,30.12,78.1,4:53 PM,10.0,Calm,Calm,0
17,Clear,2016-09-30 22:53:00,48.0,,-,37,N/A,30.12,75.9,5:53 PM,10.0,NNE,3.5,20
18,Clear,2016-09-30 23:53:00,54.0,,-,65,N/A,30.12,66.0,6:53 PM,10.0,Calm,Calm,0
19,Clear,2016-10-01 00:53:00,52.0,,-,67,N/A,30.12,63.0,7:53 PM,10.0,Calm,Calm,0
20,Clear,2016-10-01 01:53:00,52.0,,-,78,N/A,30.12,59.0,8:53 PM,10.0,Calm,Calm,0
21,Clear,2016-10-01 02:53:00,52.0,,-,81,N/A,30.12,57.9,9:53 PM,10.0,Calm,Calm,0
22,Clear,2016-10-01 03:53:00,53.1,,-,87,N/A,30.12,57.0,10:53 PM,10.0,Calm,Calm,0
23,Clear,2016-10-01 04:53:00,53.1,,-,90,N/A,30.13,55.9,11:53 PM,10.0,Calm,Calm,0
24,Clear,2016-10-01 05:53:00,52.0,,-,93,N/A,30.12,54.0,12:53 AM,10.0,Calm,Calm,0
25,Clear,2016-10-01 06:53:00,51.1,,-,93,N/A,30.13,53.1,1:53 AM,10.0,Calm,Calm,0
26,Clear,2016-10-01 07:53:00,51.1,,-,93,N/A,30.13,53.1,2:53 AM,9.0,Calm,Calm,0
27,Clear,2016-10-01 08:53:00,50.0,,-,96,N/A,30.13,51.1,3:53 AM,8.0,Calm,Calm,0
28,Clear,2016-10-01 09:44:00,48.9,,-,92,N/A,30.11,51.1,4:44 AM,2.0,Calm,Calm,0
29,Clear,2016-10-01 09:53:00,48.9,,-,92,N/A,30.13,51.1,4:53 AM,9.0,Calm,Calm,0
30,Clear,2016-10-01 10:53:00,50.0,,-,93,N/A,30.12,52.0,5:53 AM,10.0,Calm,Calm,0
31,Clear,2016-10-01 11:53:00,51.1,,-,93,N/A,30.13,53.1,6:53 AM,10.0,Calm,Calm,0
32,Clear,2016-10-01 12:53:00,52.0,,-,93,N/A,30.14,54.0,7:53 AM,10.0,Calm,Calm,0
33,Clear,2016-10-01 13:53:00,55.0,,-,90,N/A,30.15,57.9,8:53 AM,10.0,SW,4.6,230
34,Clear,2016-10-01 14:53:00,55.0,,-,75,N/A,30.15,63.0,9:53 AM,10.0,Calm,Calm,0
35,Clear,2016-10-01 15:53:00,55.0,,-,61,N/A,30.15,69.1,10:53 AM,10.0,Calm,Calm,0
36,Clear,2016-10-01 16:53:00,55.0,,-,52,N/A,30.14,73.9,11:53 AM,10.0,Variable,3.5,0
37,Clear,2016-10-01 17:53:00,52.0,,-,40,N/A,30.12,78.1,12:53 PM,10.0,SSW,6.9,210
38,Clear,2016-10-01 18:53:00,51.1,,-,38,N/A,30.08,79.0,1:53 PM,10.0,Variable,6.9,0
39,Clear,2016-10-01 19:53:00,50.0,,-,35,N/A,30.06,80.1,2:53 PM,10.0,ENE,6.9,60
40,Clear,2016-10-01 20:53:00,50.0,,-,34,N/A,30.05,81.0,3:53 PM,10.0,Variable,6.9,0
41,Clear,2016-10-01 21:53:00,48.9,,-,34,N/A,30.03,80.1,4:53 PM,10.0,East,5.8,100
42,Clear,2016-10-01 22:53:00,48.9,,-,34,N/A,30.03,80.1,5:53 PM,10.0,ENE,5.8,70
43,Clear,2016-10-01 23:53:00,50.0,,-,41,N/A,30.03,75.0,6:53 PM,10.0,SE,4.6,130
44,Clear,2016-10-02 00:53:00,55.0,,-,70,N/A,30.04,64.9,7:53 PM,10.0,Calm,Calm,0
45,Clear,2016-10-02 01:53:00,55.0,,-,73,N/A,30.06,64.0,8:53 PM,10.0,Calm,Calm,0
46,Clear,2016-10-02 02:53:00,55.0,,-,75,N/A,30.06,63.0,9:53 PM,10.0,Calm,Calm,0
47,Clear,2016-10-02 03:53:00,55.0,,-,81,N/A,30.06,61.0,10:53 PM,10.0,Calm,Calm,0
48,Mostly Cloudy,2016-10-02 04:53:00,54.0,,-,80,N/A,30.07,60.1,11:53 PM,10.0,Calm,Calm,0
49,Mostly Cloudy,2016-10-02 05:53:00,54.0,,-,80,N/A,30.06,60.1,12:53 AM,10.0,Calm,Calm,0
50,Overcast,2016-10-02 06:53:00,55.0,,-,81,N/A,30.06,61.0,1:53 AM,10.0,Calm,Calm,0
51,Mostly Cloudy,2016-10-02 07:53:00,55.0,,-,87,N/A,30.06,59.0,2:53 AM,10.0,Calm,Calm,0
52,Clear,2016-10-02 08:53:00,54.0,,-,87,N/A,30.06,57.9,3:53 AM,10.0,Calm,Calm,0
53,Clear,2016-10-02 09:53:00,54.0,,-,89,N/A,30.06,57.0,4:53 AM,10.0,Calm,Calm,0
54,Mostly Cloudy,2016-10-02 10:53:00,55.0,,-,93,N/A,30.08,57.0,5:53 AM,10.0,Calm,Calm,0
55,Mostly Cloudy,2016-10-02 11:53:00,55.0,,-,93,N/A,30.09,57.0,6:53 AM,10.0,Calm,Calm,0
56,Clear,2016-10-02 12:53:00,54.0,,-,89,N/A,30.12,57.0,7:53 AM,10.0,Calm,Calm,0
57,Partly Cloudy,2016-10-02 13:53:00,55.9,,-,75,N/A,30.12,64.0,8:53 AM,10.0,SE,3.5,140
58,Partly Cloudy,2016-10-02 14:53:00,55.0,,-,61,N/A,30.12,69.1,9:53 AM,10.0,SE,5.8,130
59,Overcast,2016-10-02 15:53:00,55.0,,-,53,N/A,30.12,73.0,10:53 AM,10.0,Variable,4.6,0
60,Mostly Cloudy,2016-10-02 16:53:00,55.9,,-,50,N/A,30.12,75.9,11:53 AM,10.0,Variable,5.8,0
61,Clear,2016-10-02 17:53:00,54.0,,-,40,N/A,30.09,80.1,12:53 PM,10.0,SSE,4.6,150
62,Clear,2016-10-02 18:53:00,51.1,,-,34,N/A,30.07,82.0,1:53 PM,10.0,South,5.8,170
63,Clear,2016-10-02 19:53:00,52.0,,-,33,N/A,30.04,84.0,2:53 PM,10.0,South,6.9,180
64,Clear,2016-10-02 20:53:00,52.0,,-,34,N/A,30.02,82.9,3:53 PM,10.0,North,-9999.0,0
65,Clear,2016-10-02 21:53:00,52.0,,-,33,N/A,30.01,84.0,4:53 PM,10.0,East,5.8,80
66,Clear,2016-10-02 22:53:00,53.1,,-,36,N/A,30.00,82.9,5:53 PM,10.0,East,6.9,80
67,Clear,2016-10-02 23:53:00,53.1,,-,40,N/A,30.01,79.0,6:53 PM,10.0,ESE,6.9,120
68,Clear,2016-10-03 00:53:00,57.0,,-,65,N/A,30.03,69.1,7:53 PM,10.0,Calm,Calm,0
69,Clear,2016-10-03 01:53:00,57.9,,-,75,N/A,30.04,66.0,8:53 PM,10.0,Calm,Calm,0
70,Clear,2016-10-03 02:53:00,57.0,,-,75,N/A,30.05,64.9,9:53 PM,10.0,Calm,Calm,0
71,Clear,2016-10-03 03:53:00,55.9,,-,78,N/A,30.05,63.0,10:53 PM,10.0,Calm,Calm,0
72,Clear,2016-10-03 04:53:00,55.9,,-,83,N/A,30.04,61.0,11:53 PM,10.0,Calm,Calm,0
73,Clear,2016-10-03 05:53:00,55.9,,-,86,N/A,30.03,60.1,12:53 AM,10.0,Calm,Calm,0
74,Clear,2016-10-03 06:53:00,55.9,,-,86,N/A,30.03,60.1,1:53 AM,10.0,Calm,Calm,0
75,Clear,2016-10-03 07:53:00,55.9,,-,90,N/A,30.02,59.0,2:53 AM,10.0,Calm,Calm,0
76,Clear,2016-10-03 08:53:00,55.9,,-,93,N/A,30.01,57.9,3:53 AM,10.0,Calm,Calm,0
77,Clear,2016-10-03 09:53:00,55.0,,-,93,N/A,30.01,57.0,4:53 AM,9.0,Calm,Calm,0
78,Clear,2016-10-03 10:53:00,55.0,,-,93,N/A,30.01,57.0,5:53 AM,9.0,Calm,Calm,0
79,Clear,2016-10-03 11:53:00,55.9,,-,93,N/A,30.02,57.9,6:53 AM,7.0,Calm,Calm,0
80,Clear,2016-10-03 12:53:00,55.9,,-,93,N/A,30.03,57.9,7:53 AM,7.0,Calm,Calm,0
81,Clear,2016-10-03 13:53:00,57.0,,-,78,N/A,30.04,64.0,8:53 AM,10.0,Calm,Calm,0
82,Clear,2016-10-03 14:53:00,57.0,,-,61,N/A,30.04,71.1,9:53 AM,10.0,South,6.9,180
83,Clear,2016-10-03 15:53:00,57.9,,-,54,N/A,30.02,75.9,10:53 AM,10.0,South,8.1,170
84,Clear,2016-10-03 16:53:00,55.9,,-,43,N/A,30.00,80.1,11:53 AM,10.0,South,11.5,170
85,Clear,2016-10-03 17:53:00,55.0,,-,39,N/A,29.96,82.0,12:53 PM,10.0,South,12.7,180
86,Clear,2016-10-03 18:53:00,54.0,,-,35,N/A,29.93,84.0,1:53 PM,10.0,South,11.5,170
87,Clear,2016-10-03 19:53:00,54.0,,20.7,34,N/A,29.90,84.9,2:53 PM,10.0,SE,15.0,140
88,Clear,2016-10-03 20:53:00,55.0,,20.7,36,N/A,29.87,84.9,3:53 PM,10.0,South,15.0,170
89,Clear,2016-10-03 21:53:00,54.0,,21.9,34,N/A,29.85,84.9,4:53 PM,10.0,South,12.7,170
90,Clear,2016-10-03 22:53:00,55.0,,-,38,N/A,29.84,82.9,5:53 PM,10.0,South,12.7,170
91,Clear,2016-10-03 23:53:00,55.0,,-,41,N/A,29.83,81.0,6:53 PM,10.0,South,8.1,170
92,Clear,2016-10-04 00:53:00,55.0,,-,45,N/A,29.84,78.1,7:53 PM,10.0,South,5.8,170
93,Clear,2016-10-04 01:53:00,55.9,,-,50,N/A,29.85,75.9,8:53 PM,10.0,South,9.2,170
94,Clear,2016-10-04 02:53:00,57.0,,-,55,N/A,29.84,73.9,9:53 PM,10.0,SSE,6.9,160
95,Clear,2016-10-04 03:53:00,57.0,,-,57,N/A,29.85,73.0,10:53 PM,10.0,South,9.2,170
96,Clear,2016-10-04 04:53:00,55.9,,-,59,N/A,29.84,71.1,11:53 PM,10.0,SSE,8.1,160
